"Code","Date","Observed","Suggested","Anomaly (std.devs.)","Deleted"
"ho00000830","1972-07-06",22.7,16.4,3.52,0
"ho00000830","1972-07-07",22.3,16.1,3.46,0
"ho00000830","1972-07-08",22.8,16.2,3.69,0
"ho00000830","1972-09-12",21.2,27.3,-3.37,0
"ho00000830","1972-09-15",22,15.7,3.52,0
"ho00000830","1976-01-29",30.2,23.9,3.74,0
"ho00000830","1976-11-04",28,20.7,4.39,0
"ho00000830","1978-09-23",17.2,22.9,-3.39,0
"ho00000830","1979-07-21",24.6,18.3,3.76,0
"ho00000830","1980-08-26",24.2,18,3.69,0
"ho00000830","1981-08-06",20,13.9,3.57,0
"ho00000830","1987-10-11",19,25.1,-3.64,0
"ho00000830","1991-04-18",26,20.3,3.42,0
"ho00000830","1992-07-13",22.8,16.7,3.63,0
"ho00000830","1993-07-04",18.7,12.8,3.57,0
"ho00000830","1993-08-20",18,23.7,-3.44,0
"ho00000830","2000-01-23",26.4,19.7,4.1,0
"ho00000830","2000-10-17",18.8,24.7,-3.6,0
"ho00000830","2000-10-18",18,24.9,-4.17,0
"ho00000830","2002-10-10",17.4,23.6,-3.77,0
"ho00000830","2002-10-11",17.8,24.6,-4.15,0
"ho00000830","2007-06-13",15.1,22.8,-4.58,1
"ho00000830","2009-03-18",26.6,20.9,3.45,0
"ho00000830","2012-07-17",25.6,20,3.42,0
"ho00000830","2012-07-20",25.4,17.6,4.79,1
"ho00000830","2013-08-29",17,22.8,-3.5,0
"ho00000830","2014-09-14",16,22.3,-3.8,0
"ho00000830","2019-09-06",16.6,22.5,-3.6,0
"ho00000830","2019-10-08",18.2,23.9,-3.48,0
"ho00000833","1968-01-24",23.6,30.9,-3.65,0
"ho00000833","1968-08-24",31.4,23.9,3.74,0
"ho00000833","1968-08-25",31.7,23.9,3.89,0
"ho00000833","1969-06-26",17.1,23.8,-3.38,0
"ho00000833","1970-10-25",32.6,25.6,3.52,0
"ho00000833","1972-07-06",20.4,27.3,-3.42,0
"ho00000833","1972-07-07",20.2,26.9,-3.36,0
"ho00000833","1972-07-08",20.3,27.1,-3.39,0
"ho00000833","1972-09-12",35.5,27.4,4.02,0
"ho00000833","1972-09-15",19.3,26.6,-3.66,0
"ho00000833","1974-08-20",30.9,23.9,3.48,0
"ho00000833","1976-01-29",27.5,34.8,-3.64,0
"ho00000833","1976-02-02",24.8,31.8,-3.52,0
"ho00000833","1976-07-11",17.1,23.8,-3.48,0
"ho00000833","1981-09-05",31.6,24.7,3.44,0
"ho00000833","1987-10-11",32.9,25.6,3.64,0
"ho00000833","1991-06-09",32.2,25,3.61,0
"ho00000833","1992-05-28",21.1,28.6,-3.88,0
"ho00000833","1992-07-13",20.4,27.1,-3.36,0
"ho00000833","1993-03-09",20.1,29.6,-4.92,1
"ho00000833","1993-07-04",17.5,24.6,-3.56,0
"ho00000833","1999-09-01",31.1,24.3,3.42,0
"ho00000833","2000-01-12",23.2,30.3,-3.55,0
"ho00000833","2000-10-18",32.8,25.6,3.59,0
"ho00000833","2002-10-10",31.5,24.7,3.43,0
"ho00000833","2002-10-11",32.6,25.4,3.58,0
"ho00000833","2007-06-13",31.1,24,3.56,0
"ho00000833","2009-03-18",24.4,32.1,-3.82,0
"ho00000833","2010-08-10",30.4,23.6,3.42,0
"ho00000833","2013-08-28",31,24.3,3.42,0
"ho00000833","2013-08-29",30.8,24,3.42,0
"ho00000833","2014-09-14",30.8,23.5,3.66,0
"ho00000833","2016-09-16",31.8,25,3.42,0
"ho00000833","2017-05-19",21.3,27.8,-3.38,0
"ho00000846","1968-01-24",25.9,20.8,3.78,0
"ho00000846","1968-08-24",17.9,22.5,-3.36,0
"ho00000846","1969-06-26",18.8,13.6,3.88,0
"ho00000846","1970-05-05",22.9,18.1,3.59,0
"ho00000846","1972-07-24",15.4,20.2,-3.54,0
"ho00000846","1972-09-12",19.2,26.4,-5.13,1
"ho00000846","1976-08-20",18.2,23.3,-3.7,0
"ho00000846","1978-09-04",17.4,22.1,-3.43,0
"ho00000846","1981-07-25",16.2,22.4,-4.51,1
"ho00000846","1982-07-17",18.6,23.4,-3.48,0
