"Fecha" "ho00000830" "ho00000833" "ho00000840" "ho00000846" "ho00157102"
"Min." NA 12.3 16.9 NA 13.7 13.4
"1st Qu." NA 19 25.8 NA 19.5 21.8
"Median" NA 21.7 28.2 NA 22.1 24.8
"Mean" NA 21.61 27.75 NA 22.03 24.87
"3rd Qu." NA 24.2 29.9 NA 24.5 28.1
"Max." NA 31.4 35.5 NA 32.9 35.2
"IQR" NA 5.2 4.1 NA 5 6.3
"sd" NA 3.1902 2.745 NA 3.0035 3.6428
"cv" NA 0.1477 0.0989 NA 0.1363 0.1465
"Skewness" NA -0.0394 -0.4979 NA 0.1323 -0.0425
"Kurtosis" NA -0.822 -0.3577 NA -0.7019 -1.0185
"NA's" NA 0 0 NA 0 0
"n" NA 19358 19358 NA 19358 19358
